event_id,event_name,event_url,event_date,event_time,event_genre,event_subgenre,min_price,max_price,ticket_limit,venue_id,venue_name,venue_city,venue_address,venue_state,venue_latitude,venue_longitude,venue_market,main_attraction
k7vGFbkBudsEE,Preseason: Buffalo Bills v Carolina Panthers,https://www.ticketmaster.com/preseason-buffalo-bills-v-carolina-panthers-orchard-park-new-york-08-24-2024/event/0000606E8D0F19E7,2024-08-24,13:00:00,Football,NFL,18.39,118.62,50.0,KovZpZAdJ1vA,Highmark Stadium,Orchard Park,1 Bills Drive,New York,42.773743,-78.786955,Upstate New York,Buffalo Bills
vvG1HZbFH8Ip0J,Seattle Seahawks v Green Bay Packers,https://www.ticketmaster.com/seattle-seahawks-v-green-bay-packers-seattle-washington-12-15-2024/event/0F00608F10A16926,2024-12-15,17:20:00,Football,NFL,90.0,1050.0,4.0,KovZpZAEknnA,Lumen Field,Seattle,800 Occidental Ave S,Washington,47.595083,-122.331607,Seattle Area,Seattle Seahawks
G5vVZ9whGu0gD,New York Yankees vs. Toronto Blue Jays,https://www.ticketmaster.com/new-york-yankees-vs-toronto-blue-bronx-new-york-08-03-2024/event/1D005F26CC364D7B,2024-08-03,13:05:00,Baseball,MLB,30.0,400.0,19.0,KovZpZA6t77A,Yankee Stadium,Bronx,1 East 161st Street,New York,40.8285237,-73.9276264,New York/Tri-State Area,New York Yankees
1AvbZb6GklZVfrb,Cincinnati Bengals vs. Philadelphia Eagles,https://www.ticketmaster.com/cincinnati-bengals-vs-philadelphia-eagles-cincinnati-ohio-10-27-2024/event/1600607AC0D14798,2024-10-27,16:25:00,Football,NFL,176.0,1075.0,4.0,KovZpZAFkelA,Paycor Stadium,Cincinnati,One Paycor Stadium,Ohio,39.0955556,-84.5161111,Cincinnati and Dayton,Cincinnati Bengals
G5dIZbaugVsmO,Houston Texans vs. Chicago Bears,https://www.ticketmaster.com/houston-texans-vs-chicago-bears-houston-texas-09-15-2024/event/3A00609375D31BA0,2024-09-15,19:20:00,Football,NFL,210.0,595.0,4.0,KovZpZAEdFeA,NRG Stadium,Houston,One NRG Park,Texas,29.684885,-95.410875,Houston and More,Houston Texans
vv1A7Zkv0Gke08sfI,Chicago Bears vs. Carolina Panthers,https://www.ticketmaster.com/chicago-bears-vs-carolina-panthers-chicago-illinois-10-06-2024/event/04006064A4431528,2024-10-06,12:00:00,Football,NFL,154.0,812.0,4.0,KovZpZAF6tIA,Soldier Field,Chicago,1410 S. Museum Campus Drive,Illinois,41.86205404,-87.61682143,Chicagoland and Northern Il,Chicago Bears
vvG1VZb69xPKSQ,Tampa Bay Buccaneers vs. San Francisco 49ers,https://www.ticketmaster.com/tampa-bay-buccaneers-vs-san-francisco-tampa-florida-11-10-2024/event/0D006075E2953CDA,2024-11-10,13:00:00,Football,NFL,113.0,1135.0,4.0,KovZpZAFnl1A,Raymond James Stadium,Tampa,4201 North Dale Mabry Highway,Florida,27.975976,-82.503474,Tampa,Tampa Bay Buccaneers
vv17bZbkGkD7a7ho,Kansas City Chiefs v Denver Broncos,https://www.ticketmaster.com/kansas-city-chiefs-v-denver-broncos-kansas-city-missouri-11-10-2024/event/0600606EC42446D1,2024-11-10,12:00:00,Football,NFL,245.0,998.0,4.0,KovZpZAF7E1A,GEHA Field at Arrowhead Stadium,Kansas City,1 Arrowhead Dr,Missouri,39.04921048,-94.48417065,Kansas City and More,Kansas City Chiefs
G5vzZbk3-V-qj,Denver Broncos v Green Bay Packers - Preseason Game 1,https://www.ticketmaster.com/denver-broncos-v-green-bay-packers-denver-colorado-08-18-2024/event/1E006064A1D2175C,2024-08-18,18:00:00,Football,NFL,37.0,998.0,4.0,KovZpa3Wne,Empower Field At Mile High,Denver,1701 Bryant St.,Colorado,39.743853,-105.020127,Denver and More,Denver Broncos
vvG1VZb69x-SSb,Tampa Bay Buccaneers vs. Miami Dolphins,https://www.ticketmaster.com/tampa-bay-buccaneers-vs-miami-dolphins-tampa-florida-08-23-2024/event/0D006075E2873CD8,2024-08-23,19:30:00,Football,NFL,62.0,618.0,4.0,KovZpZAFnl1A,Raymond James Stadium,Tampa,4201 North Dale Mabry Highway,Florida,27.975976,-82.503474,Tampa,Tampa Bay Buccaneers
